Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
P32773	TOA1_YEAST	1741355.629	1233949.802	1566760.852	NA	NA	NA
P0CX31	RS24A_YEAST	124017303.6	133283136.1	107562322.7	67978283.69	70069705.02	64258638.08
Q22020	Q22020_CAEEL	1983027.258	1800083.13	1751777.726	2583031.753	2559816.108	2127821.732
Q9HAZ2	PRD16_HUMAN	2791210.586	1713867.215	1615274.89	2263329.441	2022411.28	2407391.408
O14964	HGS_HUMAN	10209885.68	10850916.44	9422721.932	10749333.78	10559477.56	11047764.42
Q9UPT5	EXOC7_HUMAN	14202286.25	14238992.65	12697236.43	14652898.88	14189483.77	14148699.04
Q03690	CLU_YEAST	9415472.375	8948994.476	9132720.77	5171778.718	4861487.364	4820675.217
Q9Y2T3	GUAD_HUMAN	30638793.2	32922241.11	31480265.96	28388165.78	32812183.08	34028725.77
P39954	SAHH_YEAST	268020485.6	269669066.6	270249199.4	161956249.4	163097754	173136814.3
P38992	SUR2_YEAST	439394.951	NA	519915.6247	NA	NA	NA
Q7L2E3	DHX30_HUMAN	60371522.86	64432855.5	60870251	63154025.35	62366098.85	66530657.25
P36871	PGM1_HUMAN	25200661.53	24060859.64	23819238.15	25102685.55	25545093.93	28279228.65
P06959	ODP2_ECOLI	19438615.19	NA	NA	14242316.42	NA	17936458.29
P55060	XPO2_HUMAN	97716859.33	101028950.6	103589174.2	99053614.42	101156213.9	105718535.9
Q9BV38	WDR18_HUMAN	13647390.41	13131719.55	13040215.99	12485468.81	13049245.67	12427300.45
Q7Z478	DHX29_HUMAN	4898066.399	4254600.793	4572274.972	5154027.765	4164578.329	4814384.728
P23724	PSB6_YEAST	23479505.49	24818052.26	24824390.82	12615045.93	14022228.93	15436355.56
P17301	ITA2_HUMAN	9654450.947	9436696.776	8794155.065	8688375.59	9448749.845	9324213.736
Q9HD15	SRA1_HUMAN	6252988.72	4681237.815	5365616.725	4900709.929	5238338.156	5896197.886
P49419	AL7A1_HUMAN	20309555.11	18836402.18	19077384.79	20424352.59	20467470.3	22146649.01
Q92917	GPKOW_HUMAN	7834486.265	7414635.079	7653588.799	7053688.257	7459425.58	7504305.763
P07919	QCR6_HUMAN	16169871.47	20476326.44	21302622.64	20174555.96	19773527.42	21658130.54
P34216	EDE1_YEAST	7965958.051	6743180.174	7075758.273	4337120.271	3870518.866	4255103.701
Q9XWU3	Q9XWU3_CAEEL	14912552.44	12310847.42	10796553.25	16551394.89	16802812.84	18367130.87
O00571	DDX3X_HUMAN	87104918.97	87577795.79	83507810.14	89621440.86	88998559.48	87903276.07
G5ECC9	G5ECC9_CAEEL	1918434.33	1494121.619	1604942.662	2270202.802	2301698.629	2792523.396
O60315	ZEB2_HUMAN	832484.4808	NA	NA	412387.746	1000035.563	944513.6182
P46969	RPE_YEAST	4138657.215	2987726.428	3978802.635	1394007.542	1712811.367	2058464.795
Q22370	Q22370_CAEEL	17115636.03	16336107.69	16243090.58	18761410.95	19964453.71	21242804.7
Q7L0Y3	MRRP1_HUMAN	14372542.07	14316005.79	14064161.04	13909519.18	14302666.45	15479335.29
P90921	ATPL1_CAEEL	10523391.57	6723040.48	5812997.69	11363600.2	8467695.889	9360326.609
G5ECM6	G5ECM6_CAEEL	19444539.63	20733047.6	21022093.61	24996864.77	26819301.98	26785868.77
P22202	HSP74_YEAST	134766647.6	128687088.2	120295632	73703876.64	76908214.38	71510632.37
O75694	NU155_HUMAN	29293868.88	28027925.13	28240037.46	28808956.89	29433836.21	27978831.91
P07244	PUR2_YEAST	12317401.98	11610273.07	11951908.15	7337150.325	7108203.71	6743664.827
Q9UNW9	NOVA2_HUMAN	1495053.259	1938335.285	1388840.583	904183.3425	1592780.801	2521151.897
Q15907	RB11B_HUMAN	54077282.91	50929534.88	54832802.28	53921079.28	49220371.86	56964627.07
